date,state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
2025-03-02,Meghalaya,East Khasi Hills,793121,11,61,37,0,0,0,0
2025-03-09,Karnataka,Bengaluru Urban,560043,14,33,39,0,0,0,0
2025-03-09,Uttar Pradesh,Kanpur Nagar,208001,29,82,12,0,0,0,0
2025-03-09,Uttar Pradesh,Aligarh,202133,62,29,15,0,0,0,0
2025-03-09,Karnataka,Bengaluru Urban,560016,14,16,21,0,0,0,0
2025-03-09,Bihar,Sitamarhi,843331,20,49,12,0,0,0,0
2025-03-09,Bihar,Sitamarhi,843330,23,24,42,0,0,0,0
2025-03-09,Uttar Pradesh,Bahraich,271865,26,60,14,0,0,0,0
2025-03-09,Uttar Pradesh,Firozabad,283204,28,26,10,0,0,0,0
2025-03-09,Bihar,Purbi Champaran,845418,30,48,10,0,0,0,0
2025-03-09,Uttar Pradesh,Maharajganj,273164,31,70,13,0,0,0,0
2025-03-09,Bihar,Sitamarhi,843317,35,94,16,0,0,0,0
2025-03-09,Maharashtra,Aurangabad,431001,42,46,12,0,0,0,0
2025-03-09,Bihar,Sitamarhi,843324,49,186,34,0,0,0,0
2025-03-09,Uttar Pradesh,Ghaziabad,201102,50,113,11,0,0,0,0
2025-03-09,Haryana,Faridabad,121004,80,60,10,0,0,0,0
2025-03-09,Karnataka,Bengaluru Urban,560068,14,17,35,0,0,0,0
2025-03-09,Bihar,Madhubani,847108,18,120,22,0,0,0,0
2025-03-09,Karnataka,Bengaluru Urban,560032,21,14,10,0,0,0,0
2025-03-09,Rajasthan,Sikar,332001,41,36,17,0,0,0,0
2025-03-09,Bihar,Bhagalpur,812005,13,40,18,0,0,0,0
2025-03-09,Punjab,Amritsar,143001,14,15,20,0,0,0,0
2025-03-09,Haryana,Gurugram,122001,18,19,13,0,0,0,0
2025-03-09,Uttar Pradesh,Gautam Buddha Nagar,201301,25,249,16,0,0,0,0
2025-03-09,Delhi,West Delhi,110018,29,11,15,0,0,0,0
2025-03-09,Madhya Pradesh,Bhind,477116,37,18,11,0,0,0,0
2025-03-09,Madhya Pradesh,Gwalior,475110,42,14,14,0,0,0,0
2025-03-09,Madhya Pradesh,Katni,483501,53,42,11,0,0,0,0
2025-03-09,Delhi,West Delhi,110059,93,42,42,0,0,0,0
2025-03-09,Bihar,Purbi Champaran,845304,18,72,12,0,0,0,0
2025-03-09,West Bengal,Coochbehar,736135,19,12,19,0,0,0,0
2025-03-09,Uttar Pradesh,Lucknow,226003,23,102,17,0,0,0,0
2025-03-09,West Bengal,Dinajpur Uttar,733129,26,18,27,0,0,0,0
2025-03-15,Assam,Marigaon,782104,10,11,46,0,0,0,0
2025-03-15,Assam,Kokrajhar,783350,10,16,18,0,0,0,0
2025-03-15,Uttar Pradesh,Agra,282005,10,66,17,0,0,0,0
2025-03-15,Uttarakhand,Haridwar,247667,17,15,28,0,0,0,0
2025-03-15,Uttar Pradesh,Ghaziabad,201001,33,125,16,0,0,0,0
2025-03-15,Uttar Pradesh,Ghaziabad,201206,14,30,13,0,0,0,0
2025-03-15,Assam,Nagaon,782124,19,15,22,0,0,0,0
2025-03-15,Delhi,West Delhi,110059,24,34,18,0,0,0,0
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201301,43,132,24,0,0,0,0
2025-03-15,Uttar Pradesh,Maharajganj,273164,12,55,12,0,0,0,0
2025-03-15,Maharashtra,Parbhani,431401,17,14,37,0,0,0,0
2025-03-15,Uttar Pradesh,Ghaziabad,201102,19,146,30,0,0,0,0
2025-03-15,Assam,Marigaon,782105,26,16,140,0,0,0,0
2025-03-15,Meghalaya,West Khasi Hills,793119,34,10,148,0,0,0,0
2025-03-15,Bihar,Purbi Champaran,845303,12,121,13,0,0,0,0
2025-03-15,Assam,Marigaon,782127,12,16,20,0,0,0,0
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201009,20,37,18,0,0,0,0
